Loading dataset 'training' from file...
Loading dataset 'testing' from file...
Creating shared Theano dataset variables...
Starting stochastic gradient descent. num_training_examples=60000
Time:    0.00 sec, Epoch:    1, Testing error: 4.61000%
Time:    1.92 sec, Epoch:    2, Testing error: 3.48000%
Time:    3.85 sec, Epoch:    3, Testing error: 2.92000%
Time:    5.77 sec, Epoch:    4, Testing error: 2.61000%
Time:    7.69 sec, Epoch:    5, Testing error: 2.43000%
Time:    9.60 sec, Epoch:    6, Testing error: 2.31000%
Time:   11.52 sec, Epoch:    7, Testing error: 2.29000%
Time:   13.44 sec, Epoch:    8, Testing error: 2.23000%
Time:   15.36 sec, Epoch:    9, Testing error: 2.23000%
Time:   17.28 sec, Epoch:   10, Testing error: 2.19000%
Time:   19.20 sec, Epoch:   11, Testing error: 2.26000%
Time:   21.12 sec, Epoch:   12, Testing error: 2.22000%
Time:   23.03 sec, Epoch:   13, Testing error: 2.20000%
Time:   24.95 sec, Epoch:   14, Testing error: 2.18000%
Time:   26.87 sec, Epoch:   15, Testing error: 2.16000%
Time:   28.79 sec, Epoch:   16, Testing error: 2.11000%
Time:   30.71 sec, Epoch:   17, Testing error: 2.12000%
Time:   32.62 sec, Epoch:   18, Testing error: 2.10000%
Time:   34.54 sec, Epoch:   19, Testing error: 2.08000%
Time:   36.46 sec, Epoch:   20, Testing error: 2.06000%
Time:   38.39 sec, Epoch:   21, Testing error: 2.06000%
Time:   40.31 sec, Epoch:   22, Testing error: 2.07000%
Time:   42.22 sec, Epoch:   23, Testing error: 2.03000%
Time:   44.14 sec, Epoch:   24, Testing error: 2.04000%
Time:   46.06 sec, Epoch:   25, Testing error: 2.03000%
Time:   47.98 sec, Epoch:   26, Testing error: 2.03000%
Time:   49.90 sec, Epoch:   27, Testing error: 2.04000%
Time:   51.82 sec, Epoch:   28, Testing error: 2.01000%
Time:   53.74 sec, Epoch:   29, Testing error: 2.04000%
Time:   55.66 sec, Epoch:   30, Testing error: 2.00000%
Time:   57.57 sec, Epoch:   31, Testing error: 2.03000%
Time:   59.49 sec, Epoch:   32, Testing error: 1.96000%
Time:   61.41 sec, Epoch:   33, Testing error: 1.98000%
Time:   63.33 sec, Epoch:   34, Testing error: 1.99000%
Time:   65.24 sec, Epoch:   35, Testing error: 1.98000%
Time:   67.16 sec, Epoch:   36, Testing error: 1.99000%
Time:   69.08 sec, Epoch:   37, Testing error: 1.96000%
Time:   71.00 sec, Epoch:   38, Testing error: 1.97000%
Time:   72.92 sec, Epoch:   39, Testing error: 1.94000%
Time:   74.84 sec, Epoch:   40, Testing error: 1.95000%
Time:   76.75 sec, Epoch:   41, Testing error: 1.96000%
Time:   78.67 sec, Epoch:   42, Testing error: 1.95000%
Time:   80.59 sec, Epoch:   43, Testing error: 1.95000%
Time:   82.51 sec, Epoch:   44, Testing error: 1.92000%
Time:   84.43 sec, Epoch:   45, Testing error: 1.93000%
Time:   86.34 sec, Epoch:   46, Testing error: 1.93000%
Time:   88.26 sec, Epoch:   47, Testing error: 1.94000%
Time:   90.18 sec, Epoch:   48, Testing error: 1.91000%
Time:   92.10 sec, Epoch:   49, Testing error: 1.93000%
Time:   94.02 sec, Epoch:   50, Testing error: 1.91000%
Time:   95.94 sec, Epoch:   51, Testing error: 1.89000%
Time:   97.85 sec, Epoch:   52, Testing error: 1.90000%
Time:   99.77 sec, Epoch:   53, Testing error: 1.92000%
Time:  101.69 sec, Epoch:   54, Testing error: 1.88000%
Time:  103.60 sec, Epoch:   55, Testing error: 1.91000%
Time:  105.52 sec, Epoch:   56, Testing error: 1.88000%
Time:  107.44 sec, Epoch:   57, Testing error: 1.89000%
Time:  109.36 sec, Epoch:   58, Testing error: 1.88000%
Time:  111.28 sec, Epoch:   59, Testing error: 1.87000%
Time:  113.19 sec, Epoch:   60, Testing error: 1.88000%
Time:  115.11 sec, Epoch:   61, Testing error: 1.89000%
Time:  117.03 sec, Epoch:   62, Testing error: 1.87000%
Time:  118.95 sec, Epoch:   63, Testing error: 1.89000%
Time:  120.87 sec, Epoch:   64, Testing error: 1.86000%
Time:  122.78 sec, Epoch:   65, Testing error: 1.86000%
Time:  124.70 sec, Epoch:   66, Testing error: 1.87000%
Time:  126.62 sec, Epoch:   67, Testing error: 1.88000%
Time:  128.54 sec, Epoch:   68, Testing error: 1.86000%
Time:  130.46 sec, Epoch:   69, Testing error: 1.88000%
Time:  132.38 sec, Epoch:   70, Testing error: 1.86000%
Time:  134.30 sec, Epoch:   71, Testing error: 1.83000%
Time:  136.22 sec, Epoch:   72, Testing error: 1.86000%
Time:  138.13 sec, Epoch:   73, Testing error: 1.88000%
Time:  140.05 sec, Epoch:   74, Testing error: 1.88000%
Time:  141.97 sec, Epoch:   75, Testing error: 1.82000%
Time:  143.89 sec, Epoch:   76, Testing error: 1.89000%
Time:  145.81 sec, Epoch:   77, Testing error: 1.84000%
Time:  147.73 sec, Epoch:   78, Testing error: 1.83000%
Time:  149.64 sec, Epoch:   79, Testing error: 1.84000%
Time:  151.56 sec, Epoch:   80, Testing error: 1.87000%
Time:  153.48 sec, Epoch:   81, Testing error: 1.85000%
Time:  155.40 sec, Epoch:   82, Testing error: 1.84000%
Time:  157.31 sec, Epoch:   83, Testing error: 1.87000%
Time:  159.23 sec, Epoch:   84, Testing error: 1.84000%
Time:  161.15 sec, Epoch:   85, Testing error: 1.84000%
Time:  163.07 sec, Epoch:   86, Testing error: 1.83000%
Time:  164.98 sec, Epoch:   87, Testing error: 1.87000%
Time:  166.90 sec, Epoch:   88, Testing error: 1.85000%
Time:  168.82 sec, Epoch:   89, Testing error: 1.90000%
Time:  170.73 sec, Epoch:   90, Testing error: 1.86000%
Time:  172.65 sec, Epoch:   91, Testing error: 1.88000%
Time:  174.57 sec, Epoch:   92, Testing error: 1.88000%
Time:  176.49 sec, Epoch:   93, Testing error: 1.86000%
Time:  178.40 sec, Epoch:   94, Testing error: 1.88000%
Time:  180.32 sec, Epoch:   95, Testing error: 1.87000%
Time:  182.24 sec, Epoch:   96, Testing error: 1.91000%
Time:  184.15 sec, Epoch:   97, Testing error: 1.88000%
Time:  186.07 sec, Epoch:   98, Testing error: 1.86000%
Time:  187.98 sec, Epoch:   99, Testing error: 1.88000%
Time:  189.90 sec, Epoch:  100, Testing error: 1.88000%
Time:  191.82 sec, Epoch:  101, Testing error: 1.88000%
Time:  193.73 sec, Epoch:  102, Testing error: 1.86000%
Time:  195.65 sec, Epoch:  103, Testing error: 1.89000%
Time:  197.57 sec, Epoch:  104, Testing error: 1.87000%
Time:  199.49 sec, Epoch:  105, Testing error: 1.88000%
Time:  201.41 sec, Epoch:  106, Testing error: 1.88000%
Time:  203.33 sec, Epoch:  107, Testing error: 1.87000%
Time:  205.25 sec, Epoch:  108, Testing error: 1.91000%
Time:  207.17 sec, Epoch:  109, Testing error: 1.86000%
Time:  209.09 sec, Epoch:  110, Testing error: 1.86000%
Time:  211.01 sec, Epoch:  111, Testing error: 1.91000%
Time:  212.93 sec, Epoch:  112, Testing error: 1.92000%
Time:  214.84 sec, Epoch:  113, Testing error: 1.89000%
Time:  216.76 sec, Epoch:  114, Testing error: 1.89000%
Time:  218.68 sec, Epoch:  115, Testing error: 1.90000%
Time:  220.60 sec, Epoch:  116, Testing error: 1.88000%
Time:  222.51 sec, Epoch:  117, Testing error: 1.89000%
Time:  224.43 sec, Epoch:  118, Testing error: 1.89000%
Time:  226.35 sec, Epoch:  119, Testing error: 1.91000%
Time:  228.26 sec, Epoch:  120, Testing error: 1.88000%
Time:  230.18 sec, Epoch:  121, Testing error: 1.91000%
Time:  232.10 sec, Epoch:  122, Testing error: 1.90000%
Time:  234.02 sec, Epoch:  123, Testing error: 1.89000%
Time:  235.93 sec, Epoch:  124, Testing error: 1.89000%
Time:  237.85 sec, Epoch:  125, Testing error: 1.88000%
Time:  239.77 sec, Epoch:  126, Testing error: 1.90000%
Time:  241.69 sec, Epoch:  127, Testing error: 1.87000%
Time:  243.60 sec, Epoch:  128, Testing error: 1.87000%
Time:  245.52 sec, Epoch:  129, Testing error: 1.89000%
Time:  247.44 sec, Epoch:  130, Testing error: 1.86000%
Time:  249.35 sec, Epoch:  131, Testing error: 1.88000%
Time:  251.27 sec, Epoch:  132, Testing error: 1.92000%
Time:  253.19 sec, Epoch:  133, Testing error: 1.89000%
Time:  255.10 sec, Epoch:  134, Testing error: 1.91000%
Time:  257.02 sec, Epoch:  135, Testing error: 1.87000%
Time:  258.94 sec, Epoch:  136, Testing error: 1.89000%
Time:  260.85 sec, Epoch:  137, Testing error: 1.89000%
Time:  262.77 sec, Epoch:  138, Testing error: 1.91000%
Time:  264.68 sec, Epoch:  139, Testing error: 1.87000%
Time:  266.60 sec, Epoch:  140, Testing error: 1.86000%
Time:  268.52 sec, Epoch:  141, Testing error: 1.89000%
Time:  270.44 sec, Epoch:  142, Testing error: 1.88000%
Time:  272.35 sec, Epoch:  143, Testing error: 1.89000%
Time:  274.27 sec, Epoch:  144, Testing error: 1.90000%
Time:  276.19 sec, Epoch:  145, Testing error: 1.90000%
Time:  278.10 sec, Epoch:  146, Testing error: 1.90000%
Time:  280.02 sec, Epoch:  147, Testing error: 1.87000%
Time:  281.94 sec, Epoch:  148, Testing error: 1.88000%
Time:  283.85 sec, Epoch:  149, Testing error: 1.89000%
Time:  285.77 sec, Epoch:  150, Testing error: 1.89000%
Time:  287.69 sec, Epoch:  151, Testing error: 1.90000%
Time:  289.60 sec, Epoch:  152, Testing error: 1.89000%
Time:  291.52 sec, Epoch:  153, Testing error: 1.89000%
Time:  293.43 sec, Epoch:  154, Testing error: 1.88000%
Time:  295.35 sec, Epoch:  155, Testing error: 1.90000%
Time:  297.27 sec, Epoch:  156, Testing error: 1.88000%
Time:  299.19 sec, Epoch:  157, Testing error: 1.90000%
Time:  301.11 sec, Epoch:  158, Testing error: 1.89000%
Time:  303.02 sec, Epoch:  159, Testing error: 1.93000%
Time:  304.94 sec, Epoch:  160, Testing error: 1.88000%
Time:  306.86 sec, Epoch:  161, Testing error: 1.91000%
Time:  308.77 sec, Epoch:  162, Testing error: 1.89000%
Time:  310.69 sec, Epoch:  163, Testing error: 1.91000%
Time:  312.61 sec, Epoch:  164, Testing error: 1.90000%
Time:  314.53 sec, Epoch:  165, Testing error: 1.90000%
Time:  316.44 sec, Epoch:  166, Testing error: 1.88000%
Time:  318.36 sec, Epoch:  167, Testing error: 1.88000%
Time:  320.28 sec, Epoch:  168, Testing error: 1.88000%
Time:  322.20 sec, Epoch:  169, Testing error: 1.88000%
Time:  324.12 sec, Epoch:  170, Testing error: 1.89000%
Time:  326.03 sec, Epoch:  171, Testing error: 1.86000%
Time:  327.95 sec, Epoch:  172, Testing error: 1.90000%
Time:  329.87 sec, Epoch:  173, Testing error: 1.89000%
Time:  331.78 sec, Epoch:  174, Testing error: 1.91000%
Time:  333.70 sec, Epoch:  175, Testing error: 1.85000%
Time:  335.62 sec, Epoch:  176, Testing error: 1.93000%
Time:  337.54 sec, Epoch:  177, Testing error: 1.87000%
Time:  339.45 sec, Epoch:  178, Testing error: 1.88000%
Time:  341.37 sec, Epoch:  179, Testing error: 1.88000%
Time:  343.29 sec, Epoch:  180, Testing error: 1.88000%
Time:  345.20 sec, Epoch:  181, Testing error: 1.87000%
Time:  347.12 sec, Epoch:  182, Testing error: 1.87000%
Time:  349.04 sec, Epoch:  183, Testing error: 1.89000%
Time:  350.95 sec, Epoch:  184, Testing error: 1.88000%
Time:  352.87 sec, Epoch:  185, Testing error: 1.89000%
Time:  354.78 sec, Epoch:  186, Testing error: 1.89000%
Time:  356.70 sec, Epoch:  187, Testing error: 1.90000%
Time:  358.62 sec, Epoch:  188, Testing error: 1.89000%
Time:  360.53 sec, Epoch:  189, Testing error: 1.91000%
Time:  362.45 sec, Epoch:  190, Testing error: 1.88000%
Time:  364.37 sec, Epoch:  191, Testing error: 1.91000%
Time:  366.29 sec, Epoch:  192, Testing error: 1.88000%
Time:  368.20 sec, Epoch:  193, Testing error: 1.85000%
Time:  370.12 sec, Epoch:  194, Testing error: 1.92000%
Time:  372.04 sec, Epoch:  195, Testing error: 1.89000%
Time:  373.96 sec, Epoch:  196, Testing error: 1.90000%
Time:  375.87 sec, Epoch:  197, Testing error: 1.87000%
Time:  377.79 sec, Epoch:  198, Testing error: 1.86000%
Time:  379.71 sec, Epoch:  199, Testing error: 1.88000%
Time:  381.62 sec, Epoch:  200, Testing error: 1.89000%
Training completed after 383.54 seconds. 200 epochs at 0.52 epochs / second. Testing error: 1.89000%
