Loading dataset 'training' from file...
Loading dataset 'testing' from file...
Creating shared Theano dataset variables...
Starting stochastic gradient descent. num_training_examples=60000
Time:    0.00 sec, Epoch:    1, Testing error: 7.84000%
Time:    1.93 sec, Epoch:    2, Testing error: 5.08000%
Time:    3.84 sec, Epoch:    3, Testing error: 4.04000%
Time:    5.76 sec, Epoch:    4, Testing error: 3.43000%
Time:    7.69 sec, Epoch:    5, Testing error: 3.03000%
Time:    9.60 sec, Epoch:    6, Testing error: 2.86000%
Time:   11.52 sec, Epoch:    7, Testing error: 2.71000%
Time:   13.44 sec, Epoch:    8, Testing error: 2.56000%
Time:   15.36 sec, Epoch:    9, Testing error: 2.49000%
Time:   17.27 sec, Epoch:   10, Testing error: 2.42000%
Time:   19.19 sec, Epoch:   11, Testing error: 2.35000%
Time:   21.11 sec, Epoch:   12, Testing error: 2.33000%
Time:   23.03 sec, Epoch:   13, Testing error: 2.28000%
Time:   24.95 sec, Epoch:   14, Testing error: 2.26000%
Time:   26.86 sec, Epoch:   15, Testing error: 2.23000%
Time:   28.78 sec, Epoch:   16, Testing error: 2.18000%
Time:   30.70 sec, Epoch:   17, Testing error: 2.16000%
Time:   32.61 sec, Epoch:   18, Testing error: 2.15000%
Time:   34.53 sec, Epoch:   19, Testing error: 2.12000%
Time:   36.45 sec, Epoch:   20, Testing error: 2.09000%
Time:   38.36 sec, Epoch:   21, Testing error: 2.12000%
Time:   40.28 sec, Epoch:   22, Testing error: 2.06000%
Time:   42.20 sec, Epoch:   23, Testing error: 2.02000%
Time:   44.12 sec, Epoch:   24, Testing error: 1.98000%
Time:   46.03 sec, Epoch:   25, Testing error: 1.94000%
Time:   47.95 sec, Epoch:   26, Testing error: 1.90000%
Time:   49.87 sec, Epoch:   27, Testing error: 1.88000%
Time:   51.79 sec, Epoch:   28, Testing error: 1.86000%
Time:   53.70 sec, Epoch:   29, Testing error: 1.86000%
Time:   55.62 sec, Epoch:   30, Testing error: 1.86000%
Time:   57.54 sec, Epoch:   31, Testing error: 1.84000%
Time:   59.46 sec, Epoch:   32, Testing error: 1.83000%
Time:   61.37 sec, Epoch:   33, Testing error: 1.84000%
Time:   63.29 sec, Epoch:   34, Testing error: 1.84000%
Time:   65.21 sec, Epoch:   35, Testing error: 1.84000%
Time:   67.13 sec, Epoch:   36, Testing error: 1.82000%
Time:   69.04 sec, Epoch:   37, Testing error: 1.82000%
Time:   70.96 sec, Epoch:   38, Testing error: 1.82000%
Time:   72.87 sec, Epoch:   39, Testing error: 1.82000%
Time:   74.79 sec, Epoch:   40, Testing error: 1.80000%
Time:   76.71 sec, Epoch:   41, Testing error: 1.79000%
Time:   78.63 sec, Epoch:   42, Testing error: 1.79000%
Time:   80.54 sec, Epoch:   43, Testing error: 1.79000%
Time:   82.46 sec, Epoch:   44, Testing error: 1.79000%
Time:   84.37 sec, Epoch:   45, Testing error: 1.78000%
Time:   86.29 sec, Epoch:   46, Testing error: 1.76000%
Time:   88.21 sec, Epoch:   47, Testing error: 1.75000%
Time:   90.13 sec, Epoch:   48, Testing error: 1.74000%
Time:   92.07 sec, Epoch:   49, Testing error: 1.74000%
Time:   93.99 sec, Epoch:   50, Testing error: 1.74000%
Time:   95.90 sec, Epoch:   51, Testing error: 1.73000%
Time:   97.82 sec, Epoch:   52, Testing error: 1.73000%
Time:   99.74 sec, Epoch:   53, Testing error: 1.73000%
Time:  101.65 sec, Epoch:   54, Testing error: 1.73000%
Time:  103.57 sec, Epoch:   55, Testing error: 1.73000%
Time:  105.49 sec, Epoch:   56, Testing error: 1.74000%
Time:  107.40 sec, Epoch:   57, Testing error: 1.74000%
Time:  109.32 sec, Epoch:   58, Testing error: 1.73000%
Time:  111.24 sec, Epoch:   59, Testing error: 1.73000%
Time:  113.16 sec, Epoch:   60, Testing error: 1.73000%
Time:  115.07 sec, Epoch:   61, Testing error: 1.73000%
Time:  116.99 sec, Epoch:   62, Testing error: 1.73000%
Time:  118.91 sec, Epoch:   63, Testing error: 1.73000%
Time:  120.82 sec, Epoch:   64, Testing error: 1.73000%
Time:  122.74 sec, Epoch:   65, Testing error: 1.73000%
Time:  124.66 sec, Epoch:   66, Testing error: 1.72000%
Time:  126.58 sec, Epoch:   67, Testing error: 1.72000%
Time:  128.49 sec, Epoch:   68, Testing error: 1.72000%
Time:  130.41 sec, Epoch:   69, Testing error: 1.73000%
Time:  132.33 sec, Epoch:   70, Testing error: 1.72000%
Time:  134.24 sec, Epoch:   71, Testing error: 1.73000%
Time:  136.16 sec, Epoch:   72, Testing error: 1.73000%
Time:  138.08 sec, Epoch:   73, Testing error: 1.73000%
Time:  139.99 sec, Epoch:   74, Testing error: 1.73000%
Time:  141.91 sec, Epoch:   75, Testing error: 1.73000%
Time:  143.83 sec, Epoch:   76, Testing error: 1.73000%
